,0,1,2,3,4,5,6,7,8,9,avg-runtime
jax,0.9596,0.9596,0.9607,0.96,0.962,0.9602,0.9612,0.9603,0.9619,0.9606,257.0729775428772
numpy,0.9606,0.9607,0.9618,0.9616,0.961,0.963,0.9608,0.9611,0.9621,0.9609,569.8024507045745
pytorch,0.9601,0.9598,0.9615,0.9609,0.9613,0.9613,0.9617,0.9616,0.9614,0.9611,85.02560005187988
tensorflow,0.9609,0.9621,0.9602,0.9606,0.9617,0.9612,0.9603,0.9606,0.9603,0.9602,339.3138664960861
MLP,0.962,0.963,0.9605,0.9597,0.9623,0.9592,0.96,0.9601,0.9608,0.9618,48.44201858043671
