,0,1,2,3,4,5,6,7,8,9,avg-runtime
00,0.9615,0.9608,0.9614,0.9614,0.9599,0.9607,0.9612,0.9614,0.9609,0.9606,89.22946727275848
01,0.9546,0.9532,0.9533,0.9526,0.9543,0.9529,0.952,0.9527,0.9548,0.9537,87.5651374578476
10,0.9617,0.9618,0.9616,0.9598,0.9606,0.9621,0.9625,0.9616,0.9594,0.9616,91.66588408946991
11,0.9519,0.954,0.9535,0.9566,0.9517,0.955,0.9525,0.9536,0.954,0.9533,91.23432672023773
